ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
630,13.65 MW Captive Wind Energy Project in Tirunelveli,Loyal Textiles Mills Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"16,249",Asia,2020-04-06,,,73.75
631,"13.25 MW Wind Power Generation by RMTL, in Kutch, Gujarat",Ratnamani Metals & Tubes Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"23,960",Asia,2020-04-06,,,77.75
632,JR Dairy Farm Project,J.R. Dairy,"Livestock, enteric fermentation, and manure management",,AMS-III.Y,Late to verify,United States,"5,794",North America,2020-04-06,,,63.35
633,"Bundled wind power project in Tamil Nadu, India",TCS Textiles Pvt LTD,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,India,"38,753",,2020-04-06,,,73.55
634,Bos Dairy Farm Project,Bos Dairy Farm Project,"Livestock, enteric fermentation, and manure management",,AMS-III.Y,Late to verify,United States,"8,200",North America,2020-04-06,,,63.35
635,Dak Rung Hydropower Project,Viet Nguyen Construction Works Joint Stock Company,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,Viet Nam,"7,136",Asia,2020-04-06,,,72.25
636,8MW biomass based power plant at Phagwara,JCT Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,India,"29,393",Asia,2020-04-06,,,57.75000000000001
637,12 MW Wind Electricity Generation Farm at Radhapuram by M/s Surana Industries Limited,SURANA INDUSTRIES LTD,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"25,812",Asia,2020-04-06,2016-04-01,2026-03-31,74.35000000000001
638,Rockingham County Landfill Gas Combustion Project,Rockingham County,Waste handling and disposal,,ACM0001,Registered,United States,"57,499",North America,2020-04-06,2020-04-19,2030-04-18,59.45
639,15 MW Grid Connected renewable energy generation by RSMML,Rajasthan State Mines & Minerals Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"25,000",Asia,2011-06-17,2019-07-01,2029-06-30,71.35000000000001
640,Flathead Electric Cooperative Landfill Gas to Energy Project,Flathead Electric Cooperative,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-III.G.,Registered,United States,"14,510",North America,2011-06-24,,,68.64999999999999
641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Multiple Proponents,Agriculture Forestry and Other Land Use,IFM,VM0010,Late to verify,Australia,"144,582",Oceania,2020-04-06,,,51.45
642,West Star North Dairy,West Star North Dairy,"Livestock, enteric fermentation, and manure management",,AMS-III.Y,Late to verify,United States,"10,341",North America,2020-04-06,,,64.85
643,"16.0 MW bagasse based cogeneration project at Ahmadnagar, Maharashtra by M/s Mula Sahakari Sakhar Karkhana Ltd.",M/s Mula Sahakari Sakhar Karkhana Ltd.,Energy industries (renewable/non-renewable sources),,ACM0006,Late to verify,India,"33,452",Asia,2020-04-06,,,53.75000000000001
644,"27.95MW Wind Energy Project in Coimbatore District in Tamilnadu, India.",LAKSHMI MACHINE WORKS LTD,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"60,778",Asia,2011-07-08,,,76.25
645,KRC 3MW grouped small scale hydropower project,Korea Rural Community Corporation,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,South Korea,"7,594",Asia,2011-07-14,2021-08-01,2031-07-31,70.25
646,"Metro Line 9 Seoul, South Korea",Grutter Consulting AG,Transport,,ACM0016,Late to verify,South Korea,"111,309",Asia,2011-07-14,2019-08-01,2029-07-31,70.64999999999999
647,Boden Creek Ecological Preserve Forest Carbon Project,Boden Creek Ecological Preserve,Agriculture Forestry and Other Land Use,REDD,VM0007,Late to verify,Belize,"57,718",Latin America,2020-04-06,2005-01-01,2029-12-31,35.45
648,TOWER ABANDONED MINE METHANE UTILIZATION PROJECT,"Oso Oil and Gas Properties, LLC","Fugitive emissions from fuels (solid, oil and gas); Mining/mineral production",,ACM0008; VMR0002,Late to verify,United States,"88,997",North America,2011-07-18,2018-09-23,2028-09-22,51.25000000000001
649,25.3MW WHR Project of Zhejiang Leomax Group,"Shanghai Chuanji Investment Management Co., Ltd",Energy industries (renewable/non-renewable sources),,AM0024,Late to verify,China,"52,138",Asia,2011-07-11,,,52.650000000000006
650,"Biomass Based Power Generation Plant at Village Channu, Punjab",Universal Biomass Energy Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"74,891",Asia,2011-07-21,,,76.25
651,"Composting of Organic Content of Municipal Solid Waste in Lahore, Pakistan",Lahore Compost (Private) Limited,Waste handling and disposal,,AM0025,Late to verify,Pakistan,"78,344",Asia,2020-04-06,2022-01-01,2028-12-31,54.75
652,Anhui Rice Husk Based Thermal Energy Generation Project,Wilmar International Limited,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Late to verify,China,"19,413",Asia,2011-07-27,,,51.150000000000006
653,65MW Dagushan hydropower Project in China,Gansu Zhangye Dagushan Hydropower Co. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"170,015",Asia,2020-04-06,,,81.14999999999999
654,7.5MW Biomass based Power Project of Koganti Power Limited in Karnataka India,Koganti Power Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"38,082",Asia,2011-07-26,,,70.75
655,"24.8 MW Wind power project by Belgaum Wind Farms Private Ltd. in Gadag, Karnataka",Belgaum Wind Farms Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"51,985",Asia,2020-04-06,,,79.25
656,Guizhou Qingshuihe Gelibridge Hydropower Project,"Guizhou Wujiang Qingshuihe Hydropower Development Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"387,570",Asia,2020-04-06,,,81.14999999999999
657,"Grid connected electricity generation from renewable sources:Bagisli 29.57 MW Hydroelectric Power Plant Project, Turkey",Ceykar Elektrik Üretim A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,Turkey,"64,138",Middle East,2020-04-06,2019-06-01,2029-05-31,76.25
658,"Reforestation of pastures in Campo Verde with native species, Pucallpa, Peru",Bosques Amazónicos,Agriculture Forestry and Other Land Use,ARR,AR-AM0003,Late to verify,Peru,"5,600",Latin America,2020-04-06,,,48.050000000000004
659,Shenyang Faku Wanghaisi Wind Power Project,"Shenyang Longyuan Wind Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"46,996",Asia,2020-04-06,,,78.14999999999999
660,Liaoning Faku Wanghaisi East Wind Power Project,"Shenyang Longyuan Wind Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"54,606",Asia,2020-04-06,,,79.64999999999999
661,"8.4 MW Wind Energy Project by Sanwaria Agro Oils Limited, India",Sanwaria Agro Oils Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"14,875",Asia,2020-04-06,,,73.75
